GUID 556534a5d51e490f9aab818a9d93b48c
Type Barricade
Useable Barricade
Build Barricade
ID 1912

Size_X 2
Size_Y 2
Size_Z 0.24

Health 300
Range 4
Radius 0.1
Offset 0.2

Explosion 36

Blueprints 2
Blueprint_0_Type Gear
Blueprint_0_Supply_0_ID 65
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Build 27
Blueprint_1_Type Gear
Blueprint_1_Supply_0_ID 1912
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Product 65
Blueprint_1_Products 10
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 1912
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Key Unstack

InventoryAudio Sounds/Inventory/SmallMetal.asset
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
Use_Auto_Icon_Measurements false
