GUID 2e15a98da9e34774b961d636c0e88cc9
Type Charge
Rarity Epic
Useable Barricade
Build Charge
ID 1241

Size_X 1
Size_Y 1
Size_Z 0.325

Health 1
Range 4
Offset 0.05

Player_Damage 200
Zombie_Damage 200
Animal_Damage 200
Barricade_Damage 1000
Structure_Damage 1000
Vehicle_Damage 500
Resource_Damage 2000
Object_Damage 1000

Range2 8
Explosion2 45

Explosion 36
Vulnerable
Unrepairable
Proof_Explosion

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 65
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 73
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 1100
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 32
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1393
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Level 3
Blueprint_1_Skill Craft
Blueprint_1_Build 32
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID this
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Product "73" // Explosives
Blueprint_2_Products 1
Blueprint_2_Level 2
Blueprint_2_Skill Craft
Blueprint_2_Build 27

Has_Clip_Prefab false
