GUID 853940d81e814f08999740dd41bf6003
Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 1360

Size_X 2
Size_Y 2
Size_Z 0.325
Size2_Z 0.375

Magazine 1361

Hook_Barrel
Hook_Tactical

Ammo_Min 5
Ammo_Max 15

Safety
Semi

Caliber 31

Range 80
Firerate 3
Replace 0.7
Action Trigger

Player_Damage 32
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 32
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 12
Structure_Damage 12
Vehicle_Damage 25
Resource_Damage 15
Object_Damage 20

Durability 0.1

Spread_Aim 0.1
Spread_Hip 0.2

Recoil_Min_X -3
Recoil_Min_Y 7
Recoil_Max_X 3
Recoil_Max_Y 9

Recover_X 0.7
Recover_Y 0.7

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.05
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.075

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1360
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27
