GUID 5b0f16188d8442edaae8b0c6e0d86b75
Type Melee
Rarity Uncommon
Useable Melee
Slot Secondary
ID 1174

Size_X 3
Size_Y 2
Size_Z 0.6
Size2_Z 0.8
Use_Auto_Icon_Measurements false

Range 2.25
Strength 1.5
Weak 0.37
Strong 0.37
Stamina 25

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 20

Durability 0.5

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1174
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
AttackAudioClip Sounds/MeleeAttack_02.mp3
